OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,FRPMcount,FRPMpct,DistrctAreaSqMi,Shape__Area,Shape__Length,Longitude,Latitutde,cds_code,recode_vaccine_mandates
227,2020-21,630510,1663990,1.66E+13,Kings,Pioneer Union Elementary,Elementary,KG,8,KG,8,,21,14,32,"41 - Rural, Fringe",,1540,1540,0,53,3.4,9,0.6,51,3.3,43,2.8,838,54.4,5,0.3,483,31.4,58,3.8,0,0,136,8.8,2,0.1,4,0.3,5,0.3,127,8.2,886,57.5,709,46,17.49669426,70017390.72,45975.21892,-119.6993528,36.36049021,1.66E+13,couldn't be reached
231,2020-21,620670,1764030,1.76E+13,Lake,Lakeport Unified,Unified,KG,12,KG,12,,"03,05",2,4,"32 - Town, Distant",,1388,0,1388,19,1.4,148,10.7,27,1.9,12,0.9,490,35.3,2,0.1,600,43.2,66,4.8,24,1.7,144,10.4,6,0.4,119,8.6,30,2.2,165,11.9,1004,72.3,992,71.5,128.2449411,551631796,114754.5203,-122.9682056,39.05783834,1.76E+13,"[""No independent mandates""]"
240,2020-21,632520,1864170,1.86E+13,Lassen,Richmond Elementary,Elementary,KG,8,KG,8,,1,1,1,"41 - Rural, Fringe",,211,0,211,0,0,3,1.4,0,0,0,0,19,9,1,0.5,176,83.4,11,5.2,1,0.5,0,0,0,0,0,0,0,0,20,9.5,23,10.9,21,10,55.69238702,248619927.4,80435.4136,-120.7068422,40.34950309,1.86E+13,couldn't be reached
269,2020-21,614940,1964550,1.96E+13,Los Angeles,Garvey Elementary,Elementary,KG,8,KG,8,,"27,38",22,"49,57","21 - Suburban, Large",,4431,0,4431,16,0.4,4,0.1,2613,59,58,1.3,1597,36,3,0.1,48,1.1,53,1.2,39,0.9,1485,33.5,7,0.2,18,0.4,5,0.1,407,9.2,3235,73,3142,70.9,4.652811705,17602316.46,22810.18342,-118.0960302,34.05994057,1.96E+13,"[""No independent mandates""]"
274,2020-21,617040,1964600,1.96E+13,Los Angeles,Hermosa Beach City Elementary,Elementary,KG,8,KG,12,,33,26,66,"21 - Suburban, Large",,1198,0,1198,17,1.4,5,0.4,68,5.7,2,0.2,153,12.8,6,0.5,804,67.1,141,11.8,2,0.2,23,1.9,1,0.1,1,0.1,0,0,123,10.3,69,5.8,64,5.3,1.452839871,5471497.984,10462.73097,-118.3964741,33.86533109,1.96E+13,"[""No independent mandates""]"
289,2020-21,625320,1964790,1.96E+13,Los Angeles,Monrovia Unified,Unified,PK,12,KG,12,,"27,32","22,25","41,48,49","21 - Suburban, Large",,5247,0,5247,244,4.7,8,0.2,331,6.3,135,2.6,3383,64.5,5,0.1,911,17.4,228,4.3,2,0,576,11,22,0.4,223,4.3,0,0,703,13.4,3074,58.6,2998,57.1,12.90232968,48932183,40220.83343,-117.9991847,34.16531721,1.96E+13,"[""No independent mandates""]"
293,2020-21,627690,1964840,1.96E+13,Los Angeles,Norwalk-La Mirada Unified,Unified,PK,12,KG,12,,38,32,"57,58","21 - Suburban, Large",,16209,0,16209,378,2.3,36,0.2,693,4.3,449,2.8,12919,79.7,67,0.4,1158,7.1,316,1.9,193,1.2,2392,14.8,99,0.6,4308,26.6,329,2,2062,12.7,11633,71.8,11359,70.1,15.61882927,58873486.3,47662.39629,-118.0463803,33.90357502,1.96E+13,"[""No independent mandates""]"
301,2020-21,635700,1964980,1.96E+13,Los Angeles,Santa Monica-Malibu Unified,Unified,PK,12,KG,12,,33,"26,27",50,"13 - City, Small",,9929,0,9929,606,6.1,19,0.2,615,6.2,69,0.7,2925,29.5,17,0.2,4917,49.5,684,6.9,77,0.8,761,7.7,20,0.2,19,0.2,0,0,1258,12.7,2235,22.5,2163,21.8,81.17517821,307063434.2,133900.9803,-118.481273,34.02334733,1.96E+13,"[""No independent mandates""]"
301,2020-21,635700,1964980,1.96E+13,Los Angeles,Santa Monica-Malibu Unified,Unified,PK,12,KG,12,,33,"26,27",50,"13 - City, Small",,9929,0,9929,606,6.1,19,0.2,615,6.2,69,0.7,2925,29.5,17,0.2,4917,49.5,684,6.9,77,0.8,761,7.7,20,0.2,19,0.2,0,0,1258,12.7,2235,22.5,2163,21.8,81.17517821,307063434.2,133900.9803,-118.781029,34.05864916,1.96E+13,"[""No independent mandates""]"
307,2020-21,639420,1965060,1.97E+13,Los Angeles,Torrance Unified,Unified,PK,12,KG,12,,"33,43","26,35",66,"12 - City, Midsize ",,22490,0,22490,930,4.1,29,0.1,6470,28.8,1131,5,7196,32,101,0.4,4529,20.1,1960,8.7,144,0.6,2764,12.3,71,0.3,142,0.6,0,0,2641,11.7,6625,29.5,6475,28.8,20.68443103,77843779.55,50197.40168,-118.3416198,33.83502453,1.97E+13,No comment
